source_file,muscle,channel,amp_ma,latency_ms,electrode,mode
Burst_autosave_20260717_150152_655ms,Flex. carpi rad. (L),L_The_ED_FD_FCR D,20,,1,monophasic
Burst_autosave_20260717_150152_655ms,Flex. carpi rad. (L),L_The_ED_FD_FCR D,25,,1,monophasic
Burst_autosave_20260717_150152_655ms,Flex. carpi rad. (L),L_The_ED_FD_FCR D,30,,1,monophasic
Burst_autosave_20260717_150152_655ms,Flex. carpi rad. (L),L_The_ED_FD_FCR D,35,,1,monophasic
Burst_autosave_20260717_150152_655ms,Flex. carpi rad. (L),L_The_ED_FD_FCR D,40,,1,monophasic
Burst_autosave_20260717_150152_655ms,Flex. carpi rad. (L),L_The_ED_FD_FCR D,45,,1,monophasic
Burst_autosave_20260717_150152_655ms,Flex. carpi rad. (L),L_The_ED_FD_FCR D,50,,1,monophasic
Burst_autosave_20260717_150152_655ms,Deltoid med. (R),R_DELmed,10,,1,monophasic
Burst_autosave_20260717_150152_655ms,Deltoid med. (R),R_DELmed,15,,1,monophasic
Burst_autosave_20260717_150152_655ms,Deltoid med. (R),R_DELmed,20,,1,monophasic
Burst_autosave_20260717_150152_655ms,Deltoid med. (R),R_DELmed,25,,1,monophasic
Burst_autosave_20260717_150152_655ms,Deltoid med. (R),R_DELmed,30,,1,monophasic
Burst_autosave_20260717_150152_655ms,Deltoid med. (R),R_DELmed,35,,1,monophasic
Burst_autosave_20260717_150152_655ms,Deltoid med. (R),R_DELmed,40,,1,monophasic
Burst_autosave_20260717_150152_655ms,Deltoid med. (R),R_DELmed,45,,1,monophasic
Burst_autosave_20260717_150152_655ms,Deltoid med. (R),R_DELmed,50,,1,monophasic
Burst_autosave_20260717_150152_655ms,Biceps (R),R_BB,10,,1,monophasic
Burst_autosave_20260717_150152_655ms,Biceps (R),R_BB,15,,1,monophasic
Burst_autosave_20260717_150152_655ms,Biceps (R),R_BB,20,,1,monophasic
Burst_autosave_20260717_150152_655ms,Biceps (R),R_BB,25,,1,monophasic
Burst_autosave_20260717_150152_655ms,Biceps (R),R_BB,30,,1,monophasic
Burst_autosave_20260717_150152_655ms,Biceps (R),R_BB,35,,1,monophasic
Burst_autosave_20260717_150152_655ms,Biceps (R),R_BB,40,,1,monophasic
Burst_autosave_20260717_150152_655ms,Biceps (R),R_BB,45,,1,monophasic
Burst_autosave_20260717_150152_655ms,Biceps (R),R_BB,50,,1,monophasic
Burst_autosave_20260717_150152_655ms,Triceps long (R),R_TBlg,10,,1,monophasic
Burst_autosave_20260717_150152_655ms,Triceps long (R),R_TBlg,15,,1,monophasic
Burst_autosave_20260717_150152_655ms,Triceps long (R),R_TBlg,20,,1,monophasic
Burst_autosave_20260717_150152_655ms,Triceps long (R),R_TBlg,25,,1,monophasic
Burst_autosave_20260717_150152_655ms,Triceps long (R),R_TBlg,30,,1,monophasic
