source_file,muscle,channel,mt_ma,electrode,mode
Modulated_autosave_20260717_162347_270ms,Thenar (L),L_The_ED_FD_FCR A,,1,monophasic
Modulated_autosave_20260717_162347_270ms,Ext. digitorum (L),L_The_ED_FD_FCR B,95.0,1,monophasic
Modulated_autosave_20260717_162347_270ms,Flex. digitorum (L),L_The_ED_FD_FCR C,,1,monophasic
Modulated_autosave_20260717_162347_270ms,Flex. carpi rad. (L),L_The_ED_FD_FCR D,105.0,1,monophasic
Modulated_autosave_20260717_162347_270ms,Trapezius (R),R_TR,,1,monophasic
Modulated_autosave_20260717_162347_270ms,Thenar (R),R_The_ED_FD_FCR A,,1,monophasic
Modulated_autosave_20260717_162347_270ms,Ext. digitorum (R),R_The_ED_FD_FCR B,100.0,1,monophasic
Modulated_autosave_20260717_162347_270ms,Flex. digitorum (R),R_The_ED_FD_FCR C,100.0,1,monophasic
Modulated_autosave_20260717_162347_270ms,Flex. carpi rad. (R),R_The_ED_FD_FCR D,95.0,1,monophasic
