source_file,muscle,channel,mt_ma,electrode,mode
Modulated_autosave_20260717_150657_684ms,Thenar (L),L_The_ED_FD_FCR A,105.0,1,monophasic
Modulated_autosave_20260717_150657_684ms,Ext. digitorum (L),L_The_ED_FD_FCR B,95.0,1,monophasic
Modulated_autosave_20260717_150657_684ms,Flex. digitorum (L),L_The_ED_FD_FCR C,95.0,1,monophasic
Modulated_autosave_20260717_150657_684ms,Flex. carpi rad. (L),L_The_ED_FD_FCR D,95.0,1,monophasic
Modulated_autosave_20260717_150657_684ms,Trapezius (R),R_TR,,1,monophasic
Modulated_autosave_20260717_150657_684ms,Thenar (R),R_The_ED_FD_FCR A,,1,monophasic
Modulated_autosave_20260717_150657_684ms,Ext. digitorum (R),R_The_ED_FD_FCR B,95.0,1,monophasic
Modulated_autosave_20260717_150657_684ms,Flex. digitorum (R),R_The_ED_FD_FCR C,95.0,1,monophasic
Modulated_autosave_20260717_150657_684ms,Flex. carpi rad. (R),R_The_ED_FD_FCR D,90.0,1,monophasic
