source_file,muscle,channel,mt_ma,electrode,mode
Modulated_autosave_20260717_151033_569ms,Thenar (L),L_The_ED_FD_FCR A,,3,monophasic
Modulated_autosave_20260717_151033_569ms,Ext. digitorum (L),L_The_ED_FD_FCR B,140.0,3,monophasic
Modulated_autosave_20260717_151033_569ms,Flex. digitorum (L),L_The_ED_FD_FCR C,,3,monophasic
Modulated_autosave_20260717_151033_569ms,Flex. carpi rad. (L),L_The_ED_FD_FCR D,,3,monophasic
Modulated_autosave_20260717_151033_569ms,Trapezius (R),R_TR,,3,monophasic
Modulated_autosave_20260717_151033_569ms,Thenar (R),R_The_ED_FD_FCR A,,3,monophasic
Modulated_autosave_20260717_151033_569ms,Ext. digitorum (R),R_The_ED_FD_FCR B,135.0,3,monophasic
Modulated_autosave_20260717_151033_569ms,Flex. digitorum (R),R_The_ED_FD_FCR C,135.0,3,monophasic
Modulated_autosave_20260717_151033_569ms,Flex. carpi rad. (R),R_The_ED_FD_FCR D,140.0,3,monophasic
