source_file,muscle,channel,mt_ma,electrode,mode
Modulated_autosave_20260724_103849_459ms,Thenar (L),L_The_ED_FD_FCR A,100.0,2,monophasic
Modulated_autosave_20260724_103849_459ms,Ext. digitorum (L),L_The_ED_FD_FCR B,95.0,2,monophasic
Modulated_autosave_20260724_103849_459ms,Flex. digitorum (L),L_The_ED_FD_FCR C,90.0,2,monophasic
Modulated_autosave_20260724_103849_459ms,Flex. carpi rad. (L),L_The_ED_FD_FCR D,,2,monophasic
Modulated_autosave_20260724_103849_459ms,Trapezius (R),R_TR,,2,monophasic
Modulated_autosave_20260724_103849_459ms,Thenar (R),R_The_ED_FD_FCR A,,2,monophasic
Modulated_autosave_20260724_103849_459ms,Ext. digitorum (R),R_The_ED_FD_FCR B,105.0,2,monophasic
Modulated_autosave_20260724_103849_459ms,Flex. digitorum (R),R_The_ED_FD_FCR C,75.0,2,monophasic
Modulated_autosave_20260724_103849_459ms,Flex. carpi rad. (R),R_The_ED_FD_FCR D,95.0,2,monophasic
