source_file,muscle,channel,mt_ma,electrode,mode
Modulated_autosave_20260716_145845_958ms,Thenar (L),L_The_ED_FD_FCR A,,2,monophasic
Modulated_autosave_20260716_145845_958ms,Ext. digitorum (L),L_The_ED_FD_FCR B,120.0,2,monophasic
Modulated_autosave_20260716_145845_958ms,Flex. digitorum (L),L_The_ED_FD_FCR C,,2,monophasic
Modulated_autosave_20260716_145845_958ms,Flex. carpi rad. (L),L_The_ED_FD_FCR D,,2,monophasic
Modulated_autosave_20260716_145845_958ms,Trapezius (R),R_TR,,2,monophasic
Modulated_autosave_20260716_145845_958ms,Thenar (R),R_The_ED_FD_FCR A,,2,monophasic
Modulated_autosave_20260716_145845_958ms,Ext. digitorum (R),R_The_ED_FD_FCR B,,2,monophasic
Modulated_autosave_20260716_145845_958ms,Flex. digitorum (R),R_The_ED_FD_FCR C,110.0,2,monophasic
Modulated_autosave_20260716_145845_958ms,Flex. carpi rad. (R),R_The_ED_FD_FCR D,,2,monophasic
