source_file,muscle,channel,amp_ma,noise_rms,signal_rms,snr,snr_db,electrode,mode
Single_Pulse_autosave_20260717_145115_858ms,Deltoid med. (L),L_DELmed,10,0.0022175805921628503,0.012782283290641214,5.764067080950777,15.214580527909266,1,monophasic
Single_Pulse_autosave_20260717_145115_858ms,Deltoid med. (L),L_DELmed,20,0.0020527025516908276,0.01897714565371873,9.244956429798902,19.318097374603674,1,monophasic
Single_Pulse_autosave_20260717_145115_858ms,Deltoid med. (L),L_DELmed,30,0.0022710067498482945,0.02401551383672997,10.57483155359808,20.48546916458133,1,monophasic
Single_Pulse_autosave_20260717_145115_858ms,Deltoid med. (L),L_DELmed,40,0.004261178931996319,0.031761134945133204,7.45360273576999,17.44732483768661,1,monophasic
Single_Pulse_autosave_20260717_145115_858ms,Deltoid med. (L),L_DELmed,50,0.0026099144919520243,0.045223653923753306,17.327638151826704,24.77478740253882,1,monophasic
Single_Pulse_autosave_20260717_145115_858ms,Deltoid med. (L),L_DELmed,60,0.0029369499924661096,0.06341835692659777,21.593270940696677,26.686368681698475,1,monophasic
Single_Pulse_autosave_20260717_145115_858ms,Deltoid med. (L),L_DELmed,70,0.012164400789987985,0.0853929744922483,7.019908005870024,16.92662841694141,1,monophasic
Single_Pulse_autosave_20260717_145115_858ms,Deltoid med. (L),L_DELmed,80,0.004373628791542248,0.1818444626955342,41.57747979142314,32.37716322282901,1,monophasic
Single_Pulse_autosave_20260717_145115_858ms,Deltoid med. (L),L_DELmed,90,0.011164118442234028,0.3181885094046327,28.50099728438215,29.09720113527642,1,monophasic
Single_Pulse_autosave_20260717_145115_858ms,Deltoid med. (L),L_DELmed,100,0.01270097786988357,0.5345417157628736,42.08665830608,32.48288887996679,1,monophasic
Single_Pulse_autosave_20260717_145115_858ms,Biceps (L),L_BB,10,0.002146383076044551,0.002782665512451395,1.296444024139164,2.2550754042549825,1,monophasic
Single_Pulse_autosave_20260717_145115_858ms,Biceps (L),L_BB,20,0.0019128717474454083,0.003115512325039748,1.6287094674279317,4.236872417342399,1,monophasic
Single_Pulse_autosave_20260717_145115_858ms,Biceps (L),L_BB,30,0.0019300284068083284,0.006079935248552316,3.1501791513041266,9.966705058080198,1,monophasic
Single_Pulse_autosave_20260717_145115_858ms,Biceps (L),L_BB,40,0.002003956697511544,0.006696929166624841,3.341853232128666,10.479747451684249,1,monophasic
Single_Pulse_autosave_20260717_145115_858ms,Biceps (L),L_BB,50,0.0023849347800179665,0.010647271080934259,4.464386686856925,12.995236087295712,1,monophasic
Single_Pulse_autosave_20260717_145115_858ms,Biceps (L),L_BB,60,0.004153069709281013,0.020168562181075565,4.8563023481171435,13.726114352247045,1,monophasic
Single_Pulse_autosave_20260717_145115_858ms,Biceps (L),L_BB,70,0.007686353867841852,0.37047686613224257,48.199298718504586,33.660814389300086,1,monophasic
