source_file,muscle,channel,amp_ma,latency_ms,electrode,mode
Single_Pulse_autosave_20260717_145115_858ms,Deltoid med. (L),L_DELmed,10,,1,monophasic
Single_Pulse_autosave_20260717_145115_858ms,Deltoid med. (L),L_DELmed,20,,1,monophasic
Single_Pulse_autosave_20260717_145115_858ms,Deltoid med. (L),L_DELmed,30,,1,monophasic
Single_Pulse_autosave_20260717_145115_858ms,Deltoid med. (L),L_DELmed,40,,1,monophasic
Single_Pulse_autosave_20260717_145115_858ms,Deltoid med. (L),L_DELmed,50,,1,monophasic
Single_Pulse_autosave_20260717_145115_858ms,Deltoid med. (L),L_DELmed,60,,1,monophasic
Single_Pulse_autosave_20260717_145115_858ms,Deltoid med. (L),L_DELmed,70,7.440485607016413,1,monophasic
Single_Pulse_autosave_20260717_145115_858ms,Deltoid med. (L),L_DELmed,80,7.305633115414523,1,monophasic
Single_Pulse_autosave_20260717_145115_858ms,Deltoid med. (L),L_DELmed,90,6.226813182599358,1,monophasic
Single_Pulse_autosave_20260717_145115_858ms,Deltoid med. (L),L_DELmed,100,6.631370657405043,1,monophasic
Single_Pulse_autosave_20260717_145115_858ms,Biceps (L),L_BB,10,,1,monophasic
Single_Pulse_autosave_20260717_145115_858ms,Biceps (L),L_BB,20,,1,monophasic
Single_Pulse_autosave_20260717_145115_858ms,Biceps (L),L_BB,30,,1,monophasic
Single_Pulse_autosave_20260717_145115_858ms,Biceps (L),L_BB,40,,1,monophasic
Single_Pulse_autosave_20260717_145115_858ms,Biceps (L),L_BB,50,,1,monophasic
Single_Pulse_autosave_20260717_145115_858ms,Biceps (L),L_BB,60,12.69973277949032,1,monophasic
Single_Pulse_autosave_20260717_145115_858ms,Biceps (L),L_BB,70,9.058715506239151,1,monophasic
Single_Pulse_autosave_20260717_145115_858ms,Biceps (L),L_BB,80,9.058715506239151,1,monophasic
Single_Pulse_autosave_20260717_145115_858ms,Biceps (L),L_BB,90,6.361665674201255,1,monophasic
Single_Pulse_autosave_20260717_145115_858ms,Biceps (L),L_BB,100,7.57533809861831,1,monophasic
